Company Name,Rest of the Details
100% ENTERTAINMENT,"['Production company', '203 N Irving Blvd, Los Angeles, CA 90004 323-630-0632 (phone)', '323-871-8203 (fax)', ' 100percentent.com imdb.com/company/co0077804', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama, horror, romance, science fiction, and documentary.', 'Established in 2013.', 'Stanley Isaacs', 'President', '323-461-6360', ' imdb.com/name/nm0410570 linkedin.com/pub/stanley-isaacs/4/50b/5bb twitter.com/Stanley100']"
100M FILMS,"['Production company and sales agent', '6 1F, Honshiocho, Shinjuku, Tokyo 160 0003, Japan', '03 3358 3411', ' imdb.com/company/co0061420', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include animation, drama, family, fantasy, and science fiction. Established in 1998.', 'John Williams', 'Producer imdb.com/name/nm0930942']"
100% TERRYCLOTH,"['Production company', '421 Waterview St, Playa Del Rey, CA 90293 917-737-2368', ' terencemichael.com imdb.com/company/co0194989', 'facebook.com/pages/100-Percent-Terry-Cloth-Inc/ 147268518656038', '\nAccepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include comedy and reality.', 'Established in 2007.', 'Terence Michael', 'Producer', '310-823-3432', ' imdb.com/name/nm0006709']"
100% WOMON,"['Production company', '450 N Roxbury Dr, 4th Fl, Beverly Hills, CA 90210 310-432-2400 (phone)', '310-432-2401 (fax)', 'imdb.com/company/co0225004', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include drama. Established in 2007.']"
1019 ENTERTAINMENT,"['Production company', '1680 N Vine St, Ste 600, Hollywood, CA 90028', '323-645-6840 (phone)', '323-645-6841 (fax)', ' 1019ent.com imdb.com/company/co0263748 twitter.com/1019Ent', 'Does not accept any unsolicited material. Project types include TV. Genres include action, comedy, crime, drama, family, horror, romance, thriller, period, and documentary. Established in 2010.', 'Terry Botwick', 'Partner imdb.com/company/co0263748', 'Ralph Winter', 'Partner imdb.com/name/nm0003515', 'linkedin.com/pub/ralph-winter/7/1a8/8a9']"
101 DISTRIBUTION,"['Distributor', '2375 E Camelback Rd 6 Fl, Phoenix, AZ 85016', '602-357-3288 (phone)', '602-387-5001 (fax)', ' 101distribution.com imdb.com/company/co0386624 facebook.com/arenadotcom twitter.com/arenadotcom', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, drama, horror, myth, and thriller. Established in 1958.']"
108 MEDIA,"['Production company, distributor, and sales agent', '225 Commissioners St, Ste 204, Toronto, ON M4M 0A1, Canada', '647-837-3312', ' 108mediacorp.com imdb.com/company/co0370213 linkedin.com/company/108-media-corp- facebook.com/108mediacorp twitter.com/108MediaCorp', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, fantasy, myth, reality, romance, and thriller. Established in 2010.', 'Julien Sexsmith', 'Producer imdb.com/name/nm6592381']"
10TH HOLE PRODUCTIONS,"['Financing company', '1071 Post Rd East, Westport, CT 06880 203-222-0707', ' 10thholeproductions.com imdb.com/company/co0278302', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, romance, and thriller. Established in 2010.', '\nAndy Sawyer', 'Producer imdb.com/name/nm1238818']"
"120DB FILMS, INC.","['Financing company', '75 Mill River Rd South Salem, NY 10590 914-533-5241 (phone)', '914-533-5242 (fax)', ' 120dbfilms.com imdb.com/company/co0147434', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, romance, science fiction, and thriller. Established in 2006.']"
12 FORWARD ENTERTAINMENT,"['Production company', '4228 N Central Expwy Ste 200, Dallas, TX 75206', '214-855-0500 (phone)', '214-855-0500 (fax)', ' 12forward.com imdb.com/company/co0175822', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include comedy, drama, reality, and documentary.', 'Established in 2007.']"
16X9 PRODUCTIONS,"['Production company', '7312 COVERED BRIDGE DR, Austin, TX 78736', '818-749-6608', 'imdb.com/company/co0156846', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy and documentary. Established in 2004.']"
1821 MEDIA,"['Production company', '1801 Century Park W., 6th Fl, Los Angeles, CA 90067', '310-860-1121 (phone)', '310-860-1123 (fax)', ' 1821pictures.com imdb.com/company/co0237137', 'Does not accept any unsolicited material. Project types include TV. Genres include animation, drama, family, romance, and thriller.']"
1821 PICTURES,"['Production company', '1801 Century Park W., 6th Fl, Los Angeles, CA 90067', '310-860-1121 (phone)', '310-860-1123 (fax)', ' 1821pictures.com imdb.com/company/co0237259 facebook.com/1821Pictures', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include action, animation, comedy, crime, drama, non-fiction, reality, romance, and thriller. Established in 2008.', 'Terry Douglas', 'Principal', '310-860-1121', 'imdb.com/name/nm0234806 facebook.com/td007', 'Paris Latsis', '310-860-1121', 'imdb.com/company/co0237259', 'Billy Piché', 'Director of Development 310-860-1121', 'imdb.com/name/nm5046038 linkedin.com/pub/billy-pich%C3%A9/16/7b9/9b4']"
19 ENTERTAINMENT,"['Production company', '\n1604 17th Ave S, Nashville, TN 37212 615-383-3898 (phone)', '615-383-2923 (fax)', '32/33 Ransomes Dock, 35-37 Parkgate Rd, London SW11 4NP, UK', '+44 20 7801 1919', '1071 Ave of the Americas, New York, NY 10018 212-784-7770', '8560 W Sunset Blvd, 9th Floor, West Hollywood, CA 90069', '310-777-1940 (phone)', '310-777-1949 (fax)', ' coremediagroup.com/19.html imdb.com/company/co0085773 linkedin.com/company/19-entertainment facebook.com/19EntertainmentLtd twitter.com/COREMediaGrp', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, comedy, drama, reality, romance, science fiction, period, and documentary. Established in 1997.', 'Peter Hurwitz', 'President', '310-777-1940', 'linkedin.com/pub/peter-hurwitz/b/a6b/7b7']"
2020 ENTERTAINMENT,"['Production company', '505 N Lakeshore Dr, Chicago, IL 60611 imdb.com/company/co0439502', 'Accepts query letters from produced or represented writers. Project types include feature films. Genres include action, animation, comedy, drama, and romance. Established in 2015.']"
20TH CENTURY FOX FILM CORPORATION,"['Production company, studio, and distributor', '10201 W Pico Blvd, Los Angeles, CA 90035 310-369-1000', 'imdb.com/company/co0016361 linkedin.com/in/20th-century-fox-44b16787', 'facebook.com/pages/20th-Century-Fox/ 108874755802962', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, romance, science fiction, thriller, period, and documentary.', 'Established in 1965.']"
20TH CENTURY FOX TELEVISION,"['Production company, studio, and distributor', '1211 Ave of the Americas, New York, NY 10036 212-556-2500', '10201 W Pico Blvd, Bldg 103, Rm 5286, Los Angeles, CA 90035', '310-369-1000 (phone)', '310-369-8726 (fax)', 'fox.com imdb.com/company/co0056447', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary. Established in 1949.']"
21 LAPS/ADELSTEIN,"['Production company', '10201 W Pico Blvd, Building 41, Ste 500B, Los Angeles, CA 90064', '310-369-7402', 'imdb.com/company/co0372539', 'Does not accept any unsolicited material. Project types include TV. Genres include action, comedy, and drama. Established in 2011.', 'Marty Adelstein', 'Producer', '310-270-4570', 'imdb.com/name/nm1374351']"
21 LAPS ENTERTAINMENT,"['Production company', 'c/o Twentieth Century Fox, 10201 W Pico Blvd, Building 41, Ste 400, Los Angeles, CA 90064', '\n310-369-7170 (phone)', '310-969-0443 (fax)', 'imdb.com/company/co0158853 facebook.com/pages/21-Laps-Entertainment/', '185829081580687', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, horror, and romance. Established in 2006.', 'Will Rack', 'Director of Development 310-369-7170', 'imdb.com/name/nm5211280', 'Shawn Levy', 'Principal', '310-369-4466', 'imdb.com/name/nm0506613', 'Dan Levine', 'President of Production imdb.com/name/nm0505782']"
21ST CENTURY FOX,"['Production company, studio, distributor, sales agent, and financing company', '10201 W Pico Blvd, Los Angeles, CA 90035 310-369-1000', ' imdb.com/company/co0423932', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, myth, reality, romance, science fiction, sociocultural, thriller, and period. Established in 2013.']"
25/7 PRODUCTIONS,"['Production company', '10999 Riverside Dr, Ste 100, North Hollywood, CA 91602', '818-432-2800 (phone)', '818-432-2810 (fax)', ' 257productions.com imdb.com/company/co0200336', 'Accepts query letters from unproduced, unrepresented writers. Project types include feature films and TV. Genres include reality and documentary. Established in 2005.', 'David Broome', 'President', '818-432-2800', 'imdb.com/company/co0200336']"
26 FILMS,"['Production company', '8748 Holloway Dr, Los Angeles, CA, 90069 310-205-9922 (phone)', '310-206-9926 (fax)', ' imdb.com/company/co0107215', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and short films. Genres include action, comedy, drama, non-fiction, myth, romance, and period.', 'Established in 2005.', 'Elena Brooks', 'Director of Development 310-205-9922', ' imdb.com/name/nm4542983 linkedin.com/pub/elena-brooks/7/229/4b5', 'Nathalie Marciano', 'Principal', '310-205-9922', ' imdb.com/name/nm0545695']"
289 FILMS DISTRIBUTING INC.,"['Distributor', '5707 Lakemoore Dr, Ste G, Austin, TX 78731 512-689-5867 (phone)', '512-382-4327 (fax)', ' imdb.com/company/co0157978', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include comedy and documentary. Established in 2003.', '\n2929 INTERNATIONAL', 'Production company', '1437 7th St, Ste 250, Santa Monica, CA 90401', '310-309-5200 (phone)', '310-309-5711 (fax)', '9100 Wilshire Blvd, Ste 500W, Beverly Hills, CA 90212', '310-309-5200 (phone)', '310-309-5200 (fax)', ' 2929entertainment.com/Home.aspx imdb.com/company/co0139479', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, crime, drama, romance, period, and documentary.', 'Established in 2005.']"
